Symbol,Exchange,Close,Price_Change_Pct,Volume,30D_Avg_Volume,Volume_Multiple
SOBHAGH.MERC,BSE,291.1,2.0,95546,1.0,95546.0
PADAM COTTON,BSE,342.35,2.0,14781,336.3076923076923,43.95
YARNPP,BSE,9.89,2.59,2338722,76619.03333333334,30.52
KOTHARI IND.,BSE,83.18,2.0,34031,1231.0,27.65
SKYGOLD,BSE,414.15,2.68,159234,7550.333333333333,21.09
CONTIL I LTD,BSE,46.19,2.1,26683,1396.9,19.1
MAFIA,BSE,19.78,2.06,328000,19777.777777777777,16.58
EPSOM PRO,BSE,8.99,3.69,2340,155.38095238095238,15.06
DEVIT,BSE,162.85,2.52,109670,7436.6,14.75
ARUNIS,BSE,91.36,2.0,1688,130.76470588235293,12.91
CDG,BSE,60.2,2.0,4576,437.5,10.46
BATLIBOI LTD,BSE,127.7,2.28,106987,14226.533333333333,7.52
CAPTAIN POLY,BSE,95.91,2.95,594148,86572.1,6.86
INDIA NIVEH,BSE,14.55,3.63,43015,7004.3,6.14
LGB FORGE,BSE,17.21,3.61,458427,112254.86666666667,4.08
ELIXIR,BSE,319.1,3.62,18351,4844.633333333333,3.79
MRCAGRO,BSE,17.35,3.52,162924,44798.76666666667,3.64
SFSL,BSE,47.0,2.17,18000,5142.857142857143,3.5
BONDADA,BSE,641.65,2.73,191200,57906.666666666664,3.3
PASUPATI FIN,BSE,37.83,2.0,5135,1607.8947368421052,3.19
HCG,BSE,484.75,2.24,183881,59198.833333333336,3.11
SIMRAN FARMS,BSE,184.9,2.75,30044,9681.633333333333,3.1
HISARMET(PS,BSE,218.85,2.7,9656,3490.266666666667,2.77
MUNOTH FIN.,BSE,69.39,3.57,403,154.1153846153846,2.61
SAICOM,BSE,0.41,2.5,2969705,1140185.0666666667,2.6
NICCO PARKS,BSE,134.8,2.98,17998,6917.833333333333,2.6
SYSCHEM (I),BSE,53.91,3.18,101586,40189.76666666667,2.53
DEEPIND,BSE,585.3,3.34,28644,11676.866666666667,2.45
MPDL,BSE,59.59,2.39,2135,882.9,2.42
PRIMA AGRO L,BSE,27.94,2.46,6904,2903.2,2.38
SEL MANUF,BSE,47.92,3.97,12020,5809.3,2.07
PRIMA PLASTI,BSE,165.35,2.26,38599,18784.2,2.05
